MODULE	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	sample_ids	p_wild_imp	N_wild_imp	p_biobest_imp	N_biobest_imp	p_rufocinctus	N_rufocinctus	p_kopper_imp	N_kopper_imp	p_vagans	N_vagans	p_ternarius	N_ternarius
Methionine degradation	21.71614548242829	5.928051426510924e-4	0.0052274635306505425	rufocinctus,kopper_imp,vagans,ternarius	M00035	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_CM_2,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_BP_1,Bi_FG_2,Br_CM_1,Bt_CM_1,Bt_MB_2,Bt_ML_1,Bt_ML_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_1,Bi_KP3_2	0.6666666666666666	12	0	6	1	6	0.8333333333333334	6	1	5	1	4
CAM (Crassulacean acid metabolism), dark	20.951902343497572	8.271847074022791e-4	0.006172070509078544	wild_imp,kopper_imp	M00168	Bi_BP_1,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_FG_1,Bv_BP_2,Bv_PI_2,Br_CM_1,Br_ML_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_BP_2,Bi_CM_1,Bi_FG_2,Bi_KP2_1,Bi_KP3_1	0.9166666666666666	12	0	6	0.5	6	1	6	0.4	5	0.25	4
Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	20.951902343497572	8.271847074022791e-4	0.006172070509078544	wild_imp,kopper_imp	M00572	Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_FG_1,Bv_BP_2,Bv_PI_2,Br_CM_1,Br_ML_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_BP_1,Bi_BP_2,Bi_CM_1,Bi_FG_2,Bi_KP2_1,Bi_KP3_1	0.9166666666666666	12	0	6	0.5	6	1	6	0.4	5	0.25	4
Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	19.500000240528525	0.0015505091886362033	0.010742813664122264	wild_imp,kopper_imp,ternarius	M00010	Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_FG_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_CM_1,Br_ML_1,Bt_MB_2,Bi_KP2_2,Bi_BP_2,Bi_CM_1,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB3_1,Bi_BB3_2,Bi_KP2_1	0.8333333333333334	12	0.6666666666666666	6	0.3333333333333333	6	1	6	0	5	1	4
Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	19.142500087346015	0.0018081204873300193	0.01159912231087385	wild_imp,biobest_imp,kopper_imp	M00525	Bi_BB1_1,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_BP_1,Bi_MB_2,Bv_BP_2,Bv_ML_1,Bv_PI_1,Bi_BP_2,Bi_CM_1,Bi_BB1_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_2,Bi_MB_1,Bi_FG_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_KP1_1,Bi_KP1_2,Bi_KP3_1	0.6666666666666666	12	1	6	0.16666666666666666	6	1	6	0.6	5	0	4
C1-unit interconversion, prokaryotes	18.869374024736466	0.0020328358689160352	0.01159912231087385	wild_imp,rufocinctus,kopper_imp,vagans,ternarius	M00140	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_BP_1,Bi_CM_2,Bi_PI_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_FG_1,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB2_2,Bi_BB3_2,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bi_MB_1	0.9166666666666666	12	0.3333333333333333	6	1	6	1	6	1	5	1	4
Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	18.869374024736466	0.0020328358689160352	0.01159912231087385	wild_imp,biobest_imp,kopper_imp,vagans,ternarius	M00008	Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_FG_1,Bv_BP_2,Bv_PI_2,Bi_BB1_1,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_CM_1,Br_CM_1,Bi_BB1_2,Bi_BP_2,Bt_CM_1,Bt_MB_2,Bt_ML_1,Bt_ML_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1	0.9166666666666666	12	1	6	0.3333333333333333	6	1	6	1	5	1	4
Gluconeogenesis, oxaloacetate => fructose-6P	15.95478280564262	0.006974363794695089	0.035606849378136914	wild_imp,rufocinctus,kopper_imp,vagans	M00003	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_1,Bi_BP_2,Bi_CM_1,Bi_CM_2,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Br_CM_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB3_2	0.9166666666666666	12	0.6666666666666666	6	1	6	1	6	1	5	0.25	4
Cysteine biosynthesis, serine => cysteine	15.954723069473024	0.006974537507057746	0.035606849378136914	rufocinctus,kopper_imp,vagans,ternarius	M00021	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_BP_1,Bi_CM_2,Bi_FG_1,Bi_PI_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB2_2,Bi_BB3_2,Bt_CM_1,Bt_ML_1,Bt_ML_2	0.8333333333333334	12	0.3333333333333333	6	1	6	1	6	1	5	1	4
D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	15.317764657032194	0.00908746290110831	0.044074195070375306	biobest_imp,kopper_imp	M00061	Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_BB1_1,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_BB1_2,Bi_KP2_1,Bi_KP2_2,Bi_CM_1,Br_CM_1,Bi_BP_2,Bi_MB_2,Bi_ML_1,Bt_CM_1,Br_ML_2,Bi_KP3_1	0.5	12	0.8333333333333334	6	0.3333333333333333	6	1	6	0	5	0.25	4
Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	14.46818252875025	0.012893645586311403	0.05955636294629553	biobest_imp,kopper_imp,vagans,ternarius	M00308	Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_BB1_1,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_BP_1,Bi_BB1_2,Bi_KP2_1,Bi_KP2_2,Bi_CM_1,Br_CM_1,Bi_BP_2,Bi_CM_2,Bi_MB_2,Bi_ML_1,Bi_PI_1,Bt_CM_1,Bt_MB_2,Bt_ML_1,Bt_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Br_ML_2,Bi_KP3_1	0.6666666666666666	12	1	6	0.3333333333333333	6	1	6	1	5	1	4
Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	14.012143104173878	0.015532465211484315	0.06568123321414339	biobest_imp,rufocinctus,vagans	M00116	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB3_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_2,Br_CM_1	0.5833333333333334	12	0.6666666666666666	6	1	6	0.5	6	1	5	0	4
NADH:quinone oxidoreductase, prokaryotes	13.183026316147796	0.021722670630017746	0.06568123321414339	wild_imp,kopper_imp	M00144	Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_FG_1,Bv_BP_2,Bv_PI_2,Br_CM_1,Br_ML_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_BP_1,Bi_BP_2,Bi_CM_1	0.8333333333333334	12	0	6	0.5	6	0.6666666666666666	6	0.4	5	0.25	4
Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin	13.038321564133874	0.023022287930730672	0.06568123321414339	wild_imp,vagans	M00950	Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_FG_1,Bv_BP_2,Bv_PI_2	0.5833333333333334	12	0	6	0.16666666666666666	6	0	6	0.4	5	0	4
Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	13.038321564133874	0.023022287930730672	0.06568123321414339	wild_imp,vagans	M00577	Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_FG_1,Bv_BP_2,Bv_PI_2	0.5833333333333334	12	0	6	0.16666666666666666	6	0	6	0.4	5	0	4
Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	13.038321564133874	0.023022287930730672	0.06568123321414339	wild_imp,vagans	M00123	Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_FG_1,Bv_BP_2,Bv_PI_2	0.5833333333333334	12	0	6	0.16666666666666666	6	0	6	0.4	5	0	4
Fumarate reductase, prokaryotes	13.038321564133874	0.023022287930730672	0.06568123321414339	wild_imp,vagans	M00150	Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_FG_1,Bv_BP_2,Bv_PI_2	0.5833333333333334	12	0	6	0.16666666666666666	6	0	6	0.4	5	0	4
Glyoxylate cycle	13.038321564133874	0.023022287930730672	0.06568123321414339	wild_imp,vagans	M00012	Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_FG_1,Bv_BP_2,Bv_PI_2	0.5833333333333334	12	0	6	0.16666666666666666	6	0	6	0.4	5	0	4
NAD biosynthesis, aspartate => quinolinate => NAD	13.038321564133874	0.023022287930730672	0.06568123321414339	wild_imp,vagans	M00115	Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_FG_1,Bv_BP_2,Bv_PI_2	0.5833333333333334	12	0	6	0.16666666666666666	6	0	6	0.4	5	0	4
Proline degradation, proline => glutamate	13.038321564133874	0.023022287930730672	0.06568123321414339	wild_imp,vagans	M00970	Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_FG_1,Bv_BP_2,Bv_PI_2	0.5833333333333334	12	0	6	0.16666666666666666	6	0	6	0.4	5	0	4
Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	13.038321564133874	0.023022287930730672	0.06568123321414339	wild_imp,vagans	M00124	Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_FG_1,Bv_BP_2,Bv_PI_2	0.5833333333333334	12	0	6	0.16666666666666666	6	0	6	0.4	5	0	4
Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	13.038321564133874	0.023022287930730672	0.06568123321414339	wild_imp,vagans	M00117	Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_FG_1,Bv_BP_2,Bv_PI_2	0.5833333333333334	12	0	6	0.16666666666666666	6	0	6	0.4	5	0	4
Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N	13.038321564133874	0.023022287930730672	0.06568123321414339	wild_imp,vagans	M00761	Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_FG_1,Bv_BP_2,Bv_PI_2	0.5833333333333334	12	0	6	0.16666666666666666	6	0	6	0.4	5	0	4
beta-Oxidation	13.038321564133874	0.023022287930730672	0.06568123321414339	wild_imp,vagans	M00087	Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_FG_1,Bv_BP_2,Bv_PI_2	0.5833333333333334	12	0	6	0.16666666666666666	6	0	6	0.4	5	0	4
ADP-L-glycero-D-manno-heptose biosynthesis	11.594629826181384	0.040784892903157496	0.10989262810017436	wild_imp,biobest_imp,kopper_imp,vagans,ternarius	M00064	Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Br_FG_1,Br_FG_2,Bi_BP_1,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Bv_BP_2,Bv_PI_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_FG_2,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bi_KP1_1,Bi_KP1_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_KP3_2,Bt_MB_2,Bt_ML_1,Br_ML_2	1	12	1	6	0.6666666666666666	6	1	6	1	5	1	4
Glutathione biosynthesis, glutamate => glutathione	11.594629826181384	0.040784892903157496	0.10989262810017436	wild_imp,biobest_imp,kopper_imp,vagans,ternarius	M00118	Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Br_FG_1,Br_FG_2,Bi_BP_1,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Bv_BP_2,Bv_PI_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_FG_2,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bi_KP1_1,Bi_KP1_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_KP3_2,Bt_MB_2,Bt_ML_1,Br_ML_2	1	12	1	6	0.6666666666666666	6	1	6	1	5	1	4
Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	10.668498461925578	0.058363589694058964	0.14517664756063145	wild_imp,biobest_imp,kopper_imp,vagans	M00880	Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Br_FG_1,Bi_CM_2,Bi_FG_1,Bi_PI_1,Bv_BP_2,Bv_PI_2,Br_ML_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_BP_1,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bv_ML_1,Bv_ML_2,Bv_PI_1	0.9166666666666666	12	1	6	0.5	6	1	6	1	5	0.75	4
C10-C20 isoprenoid biosynthesis, archaea	10.668212026387728	0.058369992318192024	0.14517664756063145	rufocinctus,kopper_imp,vagans,ternarius	M00365	Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_BP_2,Bi_CM_1,Bi_CM_2,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_PI_1,Bi_KP2_2,Bv_ML_1,Bv_ML_2,Bv_PI_2,Bt_CM_1,Bt_MB_2,Bt_ML_1,Bt_ML_2,Bi_KP3_1,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_KP2_1,Bi_FG_1	0.8333333333333334	12	0.5	6	1	6	1	6	1	5	1	4
C10-C20 isoprenoid biosynthesis, bacteria	10.668212026387728	0.058369992318192024	0.14517664756063145	rufocinctus,kopper_imp,vagans,ternarius	M00364	Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_BP_2,Bi_CM_1,Bi_CM_2,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_FG_1,Bi_PI_1,Br_FG_1,Bv_BP_2,Bv_PI_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Br_CM_1,Br_CM_2,Br_FG_2,Br_ML_1,Br_ML_2,Bv_PI_1,Bi_KP2_2,Bv_ML_1,Bv_ML_2,Bt_CM_1,Bt_MB_2,Bt_ML_1,Bt_ML_2,Bi_KP3_1,Bi_KP2_1	0.8333333333333334	12	0.5	6	1	6	1	6	1	5	1	4
Formaldehyde assimilation, xylulose monophosphate pathway	10.125013969506648	0.0717695406286399	0.17404113602445176	wild_imp,kopper_imp	M00344	Bi_BP_1,Bi_ML_1,Bi_PI_1,Br_CM_1,Br_ML_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_BP_2,Bi_CM_1,Bi_MB_2	0.5	12	0	6	0.3333333333333333	6	0.6666666666666666	6	0	5	0.25	4
Succinate dehydrogenase, prokaryotes	9.022619050087648	0.10816535416486169	0.2421181490040256	wild_imp,rufocinctus,kopper_imp	M00149	Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_FG_1,Bv_BP_2,Bv_PI_2,Br_CM_1,Br_ML_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_BP_1	0.6666666666666666	12	0	6	0.5	6	0.6666666666666666	6	0.4	5	0.25	4
CMP-KDO biosynthesis	8.980940679594624	0.10982678923893945	0.2421181490040256	wild_imp,biobest_imp,rufocinctus,kopper_imp,vagans	M00063	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_BP_1,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_PI_2,Bt_CM_1,Bt_ML_2	1	12	1	6	1	6	1	6	1	5	0.75	4
